dataset;arquivo;url;sha256;tamanho_bytes;registros_campos;data_download
cat;CAT_de_Janeiro_a_Junho_de_2012.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JANEIRO+A+JUNHO_2012.xlsx;8eee1f8104f2abc5c3eec7c4c8a867181fd333589642070e299e2900fd2fe631;2862076;668;2026-07-21 18:32:55
cat;CAT_de_Julho__a_Dezembro_de_2018.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/CATS+EMITIDAS+NO+PER%C3%8DODO+DE+JULHO+A+DEZEMBRO+DE+2018.xlsx;da787d42f025f464130a18901ab6179c398b5cf89c0848b214a442c323525f33;2152201;496;2026-07-21 18:33:54
cat;Comunicações_de_Acidente_de_Trabalho___CAT_-_junho_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202306.ZIP;7a2d84d82664d1453d5289ff4061353e143902c2f2aa1f0ca1258571a0a6ebd1;203;0;2026-07-21 18:33:56
cat;Comunicações_de_Acidente_de_Trabalho___CAT_-_julho_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202307.ZIP;6c515137cbe53b584cc3c5177e9c21f762aa1ae9ac22c9fd0e3573f620ceeffd;98;0;2026-07-21 18:34:00
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_agosto_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202308.ZIP;e621d8ff63bd20c876fa25c1fdd30030cf7093d94fecccd778bb87db33d70762;502;0;2026-07-21 18:34:05
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_setembro_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202309.ZIP;418ddbf52ba4b86f0e4fc370ba27ceb1ec98118cb0fba4e4e1d5773fa97f7028;21;0;2026-07-21 18:34:08
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_outubro_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202310.ZIP;992756528f67b40c99138538f9475fc1401b0bbb864fc48216380e67e0291d0e;413;0;2026-07-21 18:34:11
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_novembro_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202311.ZIP;5b7495664689039fe04f6a4b8e0ae5a607a3178f12b09bce807fe5d8da96d6de;600;0;2026-07-21 18:34:15
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_dezembro_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202312.ZIP;5d4805ae8bddaf45c49a91950463ef5c5e36c4b832170c0e41fd108669456387;86;0;2026-07-21 18:34:19
cat;Comunicações_de_Acidente_de_Trabalho___CAT-_janeiro_2024.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/D.SDA.PDA.005.CAT.202401.ZIP;a83e348c15820c39247a30b750182f64269a4b2c64d8a02fdd514e732fdbfeb8;765;0;2026-07-21 18:34:22
