nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_rebanho_codigo,tipo_de_rebanho
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,188222,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,32,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,7313,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,15260,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,918,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1728,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,234938,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,54326,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,300,3301009,Campos dos Goytacazes (RJ),1983,1983,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,183090,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,39,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,7218,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,15012,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,922,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1735,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,225876,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,50130,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,320,3301009,Campos dos Goytacazes (RJ),1984,1984,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,198119,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,42,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,7008,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,18097,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,905,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1694,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,212826,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,46413,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,408,3301009,Campos dos Goytacazes (RJ),1985,1985,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,198230,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,51,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,7203,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,17586,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,955,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1705,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,192394,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,41760,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,398,3301009,Campos dos Goytacazes (RJ),1986,1986,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,199417,3301009,Campos dos Goytacazes (RJ),1987,1987,105,Efetivo dos rebanhos,2670,Bovino
