nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,produto_das_lavouras_permanentes_codigo,produto_das_lavouras_permanentes
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2728,Dendê (cacho de coco)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2729,Erva-mate (folha verde)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2730,Figo
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2731,Goiaba
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2732,Guaraná (semente)
6,Município,1017,Toneladas,14400,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2733,Laranja
6,Município,1017,Toneladas,1250,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2734,Limão
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2735,Maçã
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2736,Mamão
6,Município,1017,Toneladas,3500,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2737,Manga
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2738,Maracujá
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2739,Marmelo
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2740,Noz (fruto seco)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,90001,Palmito
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2741,Pera
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2742,Pêssego
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2743,Pimenta-do-reino
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2744,Sisal ou agave (fibra)
6,Município,1017,Toneladas,1125,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2745,Tangerina
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2746,Tungue (fruto seco)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2747,Urucum (semente)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2748,Uva
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,0,Total
6,Município,33,Quilogramas por Hectare,28889,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2717,Abacate
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2718,Algodão arbóreo (em caroço)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,45981,Açaí
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2719,Azeitona
6,Município,33,Quilogramas por Hectare,600,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2720,Banana (cacho)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2721,Borracha (látex coagulado)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,40472,Borracha (látex líquido)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2722,Cacau (em amêndoa)
6,Município,33,Quilogramas por Hectare,1100,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2723,Café (em grão) Total
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,31619,Café (em grão) Arábica
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,31620,Café (em grão) Canephora
