nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,sexo_codigo,sexo,idade_codigo,idade,forma_de_declaracao_da_idade_codigo,forma_de_declaracao_da_idade
6,Município,45,Pessoas,33327,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93086,15 a 19 anos,113635,Total
6,Município,45,Pessoas,21725,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93086,15 a 19 anos,6555,Data de nascimento
6,Município,45,Pessoas,11602,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93086,15 a 19 anos,6556,Idade presumida
6,Município,45,Pessoas,6372,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6572,15 anos,113635,Total
6,Município,45,Pessoas,4028,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6572,15 anos,6555,Data de nascimento
6,Município,45,Pessoas,2344,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6572,15 anos,6556,Idade presumida
6,Município,45,Pessoas,6649,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6573,16 anos,113635,Total
6,Município,45,Pessoas,4291,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6573,16 anos,6555,Data de nascimento
6,Município,45,Pessoas,2358,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6573,16 anos,6556,Idade presumida
6,Município,45,Pessoas,6802,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6574,17 anos,113635,Total
6,Município,45,Pessoas,4481,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6574,17 anos,6555,Data de nascimento
6,Município,45,Pessoas,2321,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6574,17 anos,6556,Idade presumida
6,Município,45,Pessoas,6909,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6575,18 anos,113635,Total
6,Município,45,Pessoas,4444,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6575,18 anos,6555,Data de nascimento
