nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_produto_de_origem_animal_codigo,tipo_de_produto_de_origem_animal
6,Município,25,Mil litros,21100,3301009,Campos dos Goytacazes (RJ),1982,1982,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,339,3301009,Campos dos Goytacazes (RJ),1982,1982,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,845841,3301009,Campos dos Goytacazes (RJ),1982,1982,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,801783,3301009,Campos dos Goytacazes (RJ),1982,1982,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,44058,3301009,Campos dos Goytacazes (RJ),1982,1982,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1982,1982,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1983,1983,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,21113,3301009,Campos dos Goytacazes (RJ),1983,1983,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,326,3301009,Campos dos Goytacazes (RJ),1983,1983,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,1,3301009,Campos dos Goytacazes (RJ),1983,1983,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1983,1983,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1983,1983,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1983,1983,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,1876365,3301009,Campos dos Goytacazes (RJ),1983,1983,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,1752412,3301009,Campos dos Goytacazes (RJ),1983,1983,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,123863,3301009,Campos dos Goytacazes (RJ),1983,1983,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,90,3301009,Campos dos Goytacazes (RJ),1983,1983,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1983,1983,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1983,1983,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1983,1983,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1984,1984,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,20846,3301009,Campos dos Goytacazes (RJ),1984,1984,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,301,3301009,Campos dos Goytacazes (RJ),1984,1984,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,1,3301009,Campos dos Goytacazes (RJ),1984,1984,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1984,1984,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1984,1984,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1984,1984,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,6721765,3301009,Campos dos Goytacazes (RJ),1984,1984,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,6420665,3301009,Campos dos Goytacazes (RJ),1984,1984,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,300780,3301009,Campos dos Goytacazes (RJ),1984,1984,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,320,3301009,Campos dos Goytacazes (RJ),1984,1984,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1984,1984,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1984,1984,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1984,1984,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1985,1985,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,20621,3301009,Campos dos Goytacazes (RJ),1985,1985,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,277,3301009,Campos dos Goytacazes (RJ),1985,1985,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,1,3301009,Campos dos Goytacazes (RJ),1985,1985,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1985,1985,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1985,1985,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1985,1985,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,15293,3301009,Campos dos Goytacazes (RJ),1985,1985,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,14600,3301009,Campos dos Goytacazes (RJ),1985,1985,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,692,3301009,Campos dos Goytacazes (RJ),1985,1985,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,1,3301009,Campos dos Goytacazes (RJ),1985,1985,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1985,1985,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1985,1985,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1985,1985,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1986,1986,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,17523,3301009,Campos dos Goytacazes (RJ),1986,1986,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,251,3301009,Campos dos Goytacazes (RJ),1986,1986,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,1,3301009,Campos dos Goytacazes (RJ),1986,1986,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1986,1986,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1986,1986,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1986,1986,106,Produção de origem animal,2684,Lã
6,Município,1578,Mil Cruzados,39333,3301009,Campos dos Goytacazes (RJ),1986,1986,215,Valor da produção,0,Total
6,Município,1578,Mil Cruzados,37325,3301009,Campos dos Goytacazes (RJ),1986,1986,215,Valor da produção,2682,Leite
6,Município,1578,Mil Cruzados,2004,3301009,Campos dos Goytacazes (RJ),1986,1986,215,Valor da produção,2685,Ovos de galinha
6,Município,1578,Mil Cruzados,4,3301009,Campos dos Goytacazes (RJ),1986,1986,215,Valor da produção,2686,Ovos de codorna
6,Município,1578,Mil Cruzados,NA,3301009,Campos dos Goytacazes (RJ),1986,1986,215,Valor da produção,2687,Mel de abelha
6,Município,1578,Mil Cruzados,NA,3301009,Campos dos Goytacazes (RJ),1986,1986,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1578,Mil Cruzados,NA,3301009,Campos dos Goytacazes (RJ),1986,1986,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1987,1987,106,Produção de origem animal,0,Total
