nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,cor_ou_raca_codigo,cor_ou_raca,sexo_codigo,sexo,idade_codigo,idade
6,Município,45,Pessoas,156,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6647,94 anos
6,Município,45,Pessoas,374,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,60041,95 a 99 anos
6,Município,45,Pessoas,112,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6648,95 anos
6,Município,45,Pessoas,104,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6649,96 anos
6,Município,45,Pessoas,74,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6650,97 anos
6,Município,45,Pessoas,48,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6651,98 anos
6,Município,45,Pessoas,36,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6652,99 anos
6,Município,45,Pessoas,69,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6653,100 anos ou mais
6,Município,45,Pessoas,230456,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,100362,Total
6,Município,45,Pessoas,15231,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93070,0 a 4 anos
6,Município,45,Pessoas,2780,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6557,Menos de 1 ano
6,Município,45,Pessoas,204,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93071,Menos de 1 mês
6,Município,45,Pessoas,224,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93072,1 mês
6,Município,45,Pessoas,215,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93073,2 meses
6,Município,45,Pessoas,233,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93074,3 meses
6,Município,45,Pessoas,231,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93075,4 meses
6,Município,45,Pessoas,215,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93076,5 meses
6,Município,45,Pessoas,257,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93077,6 meses
6,Município,45,Pessoas,233,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93078,7 meses
6,Município,45,Pessoas,245,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93079,8 meses
6,Município,45,Pessoas,253,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93080,9 meses
6,Município,45,Pessoas,227,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93081,10 meses
6,Município,45,Pessoas,243,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93082,11 meses
6,Município,45,Pessoas,2750,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6558,1 ano
6,Município,45,Pessoas,3092,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6559,2 anos
6,Município,45,Pessoas,3272,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6560,3 anos
6,Município,45,Pessoas,3337,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,6561,4 anos
6,Município,45,Pessoas,17209,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,4,Homens,93084,5 a 9 anos
