ano;competencia;nivel;ocupacao_cnes;universo;categoria_estudo;n_profissionais
2018;2018-12;ocupacao;Telefonista;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);50
2018;2018-12;secao;SERVIÇO DE LIMPEZA/CONSERVAÇÃO;;;5
2018;2018-12;ocupacao;de higiene e segurança;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Auxiliar de lavanderia;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Eletricista de instalações;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Operador de caldeira;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;secao;SEGURANÇA;;;11
2018;2018-12;ocupacao;Agente de segurança;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);10
2018;2018-12;ocupacao;Vigilante;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;secao;OUTRAS OCUPAÇÕES ADMINISTRATIVAS;;;875
2018;2018-12;ocupacao;Copeiro;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Copeiro de hospital;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);9
2018;2018-12;ocupacao;Cozinheiro de hospital;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);4
2018;2018-12;ocupacao;Motorista de carro de passeio;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);8
2018;2018-12;ocupacao;Motorista de furgão ou veículo similar;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Trabalhador de serviços de manutenção;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);850
2019;2019-12;secao;PESSOAL DE SAÚDE - NÍVEL SUPERIOR;;;3951
2019;2019-12;secao;ANESTESISTA;;;47
2019;2019-12;ocupacao;Médico Anestesiologista;principal;Medicina;47
2019;2019-12;secao;ASSISTENTE SOCIAL;;;184
2019;2019-12;ocupacao;Assistente Social;multiprofissional;Serviço social;184
2019;2019-12;secao;BIOQUÍMICO/FARMACÊUTICO;;;101
2019;2019-12;ocupacao;Farmacêutico;principal;Farmácia;101
2019;2019-12;secao;CIRURGIÃO GERAL;;;37
2019;2019-12;ocupacao;Médico Cirurgião Geral;principal;Medicina;37
2019;2019-12;secao;CLÍNICO GERAL;;;372
2019;2019-12;ocupacao;Médico Clínico;principal;Medicina;372
2019;2019-12;secao;ENFERMEIRO;;;815
2019;2019-12;ocupacao;Outros enfermeiros;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);5
2019;2019-12;ocupacao;Enfermeiro;principal;Enfermagem – enfermeiros;733
2019;2019-12;ocupacao;Enfermeiro auditor;principal;Enfermagem – enfermeiros;8
2019;2019-12;ocupacao;Enfermeiro da estratégia de saúde da família;principal;Enfermagem – enfermeiros;20
2019;2019-12;ocupacao;Enfermeiro de centro cir£rgico;principal;Enfermagem – enfermeiros;1
2019;2019-12;ocupacao;Enfermeiro de terapia intensiva;principal;Enfermagem – enfermeiros;25
2019;2019-12;ocupacao;Enfermeiro do trabalho;principal;Enfermagem – enfermeiros;10
2019;2019-12;ocupacao;Enfermeiro nefrologista;principal;Enfermagem – enfermeiros;4
2019;2019-12;ocupacao;Enfermeiro obstétrico;principal;Enfermagem – enfermeiros;6
2019;2019-12;ocupacao;Enfermeiro psiquiátrico;principal;Enfermagem – enfermeiros;2
2019;2019-12;ocupacao;Enfermeiro sanitarista;principal;Enfermagem – enfermeiros;1
2019;2019-12;secao;FISIOTERAPEUTA;;;441
2019;2019-12;ocupacao;Fisioterapeuta geral;principal;Fisioterapia;440
2019;2019-12;ocupacao;Fisioterapeuta neurofuncional;principal;Fisioterapia;1
2019;2019-12;secao;FONOAUDIÓLOGO;;;74
2019;2019-12;ocupacao;Fonoaudiólogo;principal;Fonoaudiologia;74
2019;2019-12;secao;GINECO OBSTETRA;;;117
2019;2019-12;ocupacao;Médico Ginecologista Obstetra;principal;Medicina;117
2019;2019-12;secao;MÉDICO DE FAMÍLIA;;;10
2019;2019-12;ocupacao;Médico da estratégia de Saúde da Família;principal;Medicina;10
2019;2019-12;secao;NUTRICIONISTA;;;91
2019;2019-12;ocupacao;Nutricionista;principal;Nutrição;91
2019;2019-12;secao;ODONTÓLOGO;;;563
2019;2019-12;ocupacao;Cirurgião dentista - auditor;principal;Odontologia e saúde bucal;1
2019;2019-12;ocupacao;Cirurgião dentista - clínico geral;principal;Odontologia e saúde bucal;448
2019;2019-12;ocupacao;Cirurgião dentista - endodontista;principal;Odontologia e saúde bucal;24
2019;2019-12;ocupacao;Cirurgião dentista - estomatologista;principal;Odontologia e saúde bucal;2
2019;2019-12;ocupacao;Cirurgião dentista - odontologia para pacientes co;principal;Odontologia e saúde bucal;1
2019;2019-12;ocupacao;Cirurgião dentista - odontopediatra;principal;Odontologia e saúde bucal;15
2019;2019-12;ocupacao;Cirurgião dentista - ortopedista e ortodontista;principal;Odontologia e saúde bucal;18
2019;2019-12;ocupacao;Cirurgião dentista - periodontista;principal;Odontologia e saúde bucal;7
2019;2019-12;ocupacao;Cirurgião dentista - protesista;principal;Odontologia e saúde bucal;10
2019;2019-12;ocupacao;Cirurgião dentista - radiologista;principal;Odontologia e saúde bucal;5
2019;2019-12;ocupacao;Cirurgião dentista - traumatologista bucomaxilofac;principal;Odontologia e saúde bucal;19
2019;2019-12;ocupacao;Cirurgião-dentista da estratégia de saúde da famíl;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);13
2019;2019-12;secao;PEDIATRA;;;218
2019;2019-12;ocupacao;Médico Pediatra;principal;Medicina;218
2019;2019-12;secao;PSICÓLOGO;;;204
2019;2019-12;ocupacao;Psicólogo Clínico;multiprofissional;Psicologia;195
2019;2019-12;ocupacao;Psicólogo do Trabalho;multiprofissional;Psicologia;1
2019;2019-12;ocupacao;Psicólogo Social;multiprofissional;Psicologia;1
2019;2019-12;ocupacao;Psicólogo Educacional;multiprofissional;Psicologia;2
2019;2019-12;ocupacao;Psicólogo Hospitalar;multiprofissional;Psicologia;5
2019;2019-12;secao;PSIQUIATRA;;;18
2019;2019-12;ocupacao;Médico psiquiatra;principal;Medicina;18
2019;2019-12;secao;RADIOLOGISTA;;;41
2019;2019-12;ocupacao;Médico em radiologia e diagnóstico por imagem;principal;Medicina;41
2019;2019-12;secao;SANITARISTA;;;2
2019;2019-12;ocupacao;Médico sanitarista;principal;Medicina;2
2019;2019-12;secao;OUTRAS ESPECIALIDADES MÉDICAS;;;524
2019;2019-12;ocupacao;Médico acupunturista;principal;Medicina;1
2019;2019-12;ocupacao;Médico alergista e imunologista;principal;Medicina;12
2019;2019-12;ocupacao;Médico anatomopatologista;principal;Medicina;5
2019;2019-12;ocupacao;Médico angiologista;principal;Medicina;14
2019;2019-12;ocupacao;Médico Cardiologista Intervencionista;principal;Medicina;1
2019;2019-12;ocupacao;Médico cancerologista cirúrgico;principal;Medicina;1
2019;2019-12;ocupacao;Médico cardiologista;principal;Medicina;90
2019;2019-12;ocupacao;Médico cirurgião cardiovascular;principal;Medicina;1
2019;2019-12;ocupacao;Médico cirurgião de cabeça e pescoço;principal;Medicina;4
2019;2019-12;ocupacao;Médico cirurgião do aparelho digestivo;principal;Medicina;3
2019;2019-12;ocupacao;Médico cirurgião pediátrico;principal;Medicina;1
2019;2019-12;ocupacao;Médico cirurgião plástico;principal;Medicina;5
2019;2019-12;ocupacao;Médico cirurgião torácico;principal;Medicina;2
2019;2019-12;ocupacao;Médico coloproctologista;principal;Medicina;3
2019;2019-12;ocupacao;Médico dermatologista;principal;Medicina;25
2019;2019-12;ocupacao;Médico do trabalho;principal;Medicina;15
2019;2019-12;ocupacao;Médico em cirurgia vascular;principal;Medicina;2
2019;2019-12;ocupacao;Médico em endoscopia;principal;Medicina;1
2019;2019-12;ocupacao;Médico em medicina intensiva;principal;Medicina;24
2019;2019-12;ocupacao;Médico em medicina nuclear;principal;Medicina;3
2019;2019-12;ocupacao;Médico endocrinologista e metabologista;principal;Medicina;13
2019;2019-12;ocupacao;Médico fisiatra;principal;Medicina;4
2019;2019-12;ocupacao;Médico gastroenterologista;principal;Medicina;16
2019;2019-12;ocupacao;Médico geneticista;principal;Medicina;1
2019;2019-12;ocupacao;Médico geriatra;principal;Medicina;7
2019;2019-12;ocupacao;Médico hematologista;principal;Medicina;2
2019;2019-12;ocupacao;Médico infectologista;principal;Medicina;13
2019;2019-12;ocupacao;Médico mastologista;principal;Medicina;3
2019;2019-12;ocupacao;Médico nefrologista;principal;Medicina;24
2019;2019-12;ocupacao;Médico neurocirurgião;principal;Medicina;6
2019;2019-12;ocupacao;Médico neurologista;principal;Medicina;33
2019;2019-12;ocupacao;Médico nutrologista;principal;Medicina;3
2019;2019-12;ocupacao;Médico oftalmologista;principal;Medicina;45
2019;2019-12;ocupacao;Médico oncologista clínico;principal;Medicina;21
2019;2019-12;ocupacao;Médico ortopedista e traumatologista;principal;Medicina;41
2019;2019-12;ocupacao;Médico otorrinolaringologista;principal;Medicina;23
2019;2019-12;ocupacao;Médico patologista;principal;Medicina;1
