APRZ_23_002;APRZ_23_003;APRZ_23_004;_endpoint;_modulo;cd_dimensao;cd_indicador;cd_mun_ibge;cd_municipio_ibge_dv;cd_uf;ds_agreg_primaria;ds_agreg_secundaria;ds_fonte;ds_indicador;ds_indicador_completo;ds_indicador_curto;ds_indicador_prefixo;ds_indicador_radical;media_br;media_uf;nm_municipio;nm_municipio_uf;nm_uf;nu_competencia;nu_competencia_max;nu_competencia_min;pct_br;pct_uf;rank_br;rank_br_total;rank_uf;rank_uf_total;spai_ds;vl_indicador;vl_indicador_br;vl_indicador_txt;vl_indicador_uf
;;;indicadoresmunicipais;trabalhoinfantil;;10_11_01_02;3301009;;33;Aposentadoria por invalidez (B32);;Instituto Nacional do Seguro Social (INSS);Despesa Previdenciária - Aposentadoria por invalidez (B32);Despesa Previdenciária - Aposentadoria por invalidez (B32);Despesa Previdenciária - B32;(Valor em R$);Despesa Previdenciária - Aposentadoria por invalidez (B32);7173693.558529361;42229185.87250001;;Campos dos Goytacazes/RJ;Rio de Janeiro;2013;2021;2012;0.3517746819775719;3.617296278792793;36;5570;6;92;;140535038.76;39957357586.55;;3885085100.27
;;;indicadoresmunicipais;trabalhoinfantil;;06_05_09_00;3301009;;33;Intoxicação Exógena;;MS - SINAN;Notificações Relacionadas ao Trabalho no SINAN - Intoxicação Exógena;Notificações Relacionadas ao Trabalho no Sistema de Informação de Agravos de Notificação (SINAN) - Intoxicação Exógena;Notificações Relacionadas ao Trabalho no SINAN;(quantidade);Notificações Relacionadas ao Trabalho no SINAN - Intoxicação Exógena;5.5508771929824565;8.157894736842104;;Campos dos Goytacazes/RJ;Rio de Janeiro;2013;2022;2007;0.015802781289506955;0.6451612903225806;701;5570;16;92;;1;6328;;155
;;;indicadoresmunicipais;trabalhoinfantil;8;08_12_09_00;3301009;;33;;;IBGE - Pesquisa de Informações Municipais;"Existência de Órgão gestor dos direitos humanos executa programas e ações para pessoa com deficiência (Sim = 1; Não = 0) - Pessoas com Deficiência";null;Orgão gestor de Direitos Humanos que executa programas e ações para pessoa com deficiência - PCD;(Sim/Não);Existência de orgão gestor de Direitos Humanos que executa programas e ações para pessoa com deficiência - PCD;0.014198418404025881;0.03260869565217391;;Campos dos Goytacazes/RJ;Rio de Janeiro;2014;2014;2014;0;0;80;5570;4;92;;0;;;
;;;indicadoresmunicipais;trabalhoinfantil;1;01_16_01_00;3301009;;33;;;IBGE - PIB dos Municípios;Produto Interno Bruto, a preços correntes (R$ 1.000);null;PIB, a preços correntes;(em R$ x 1.000);PIB - Produto Interno Bruto, a preços correntes;598928.9018846361;4257074.502989129;;Campos dos Goytacazes/RJ;Rio de Janeiro;2009;2016;2002;0.946544596487692;8.055313404180115;13;5565;2;92;;31548703.762;;;
;;;indicadoresmunicipais;trabalhoinfantil;;09_01_06_00;3301009;;33;Acidentes com Óbito;;INSS - 2002-2023 (AEAT);Quantidade de Comunicações de Acidente de Trabalho - Óbito;Quantidade de Comunicações de Acidente de Trabalho - Óbito;Quantidade de Comunicações de Acidente de Trabalho - Óbito;Notificações de Acidentes de Trabalho (CAT) - Acidentes com Óbito;Quantidade de Comunicações de Acidente de Trabalho - Óbito;0.45858840475333096;1.7173913043478262;;Campos dos Goytacazes/RJ;Rio de Janeiro;2009;2023;2002;0.15704750687082844;2.5316455696202533;86;5565;7;92;;4;2560;;158
;;;indicadoresmunicipais;trabalhoinfantil;;10_13_01_03;3301009;;33;;;INSS, RAIS;Acidentalidade no Trabalho - Acidentes de trabalho fatais notificados em relação ao total de mortes notificadas;Acidentalidade no Trabalho - Acidentes de trabalho fatais notificados em relação ao total de mortes notificadas;Acidentalidade no Trabalho - Acidentes de trabalho fatais notificados em relação ao total de mortes notificadas;;Acidentalidade no Trabalho - Acidentes de trabalho fatais notificados em relação ao total de mortes notificadas;0.004579587801942322;0.00297813541683549;;Campos dos Goytacazes/RJ;Rio de Janeiro;2017;2019;2002;0.0019015247507481452;0.08748295244178772;1033;5570;79;92;;0.00047938638542665;0.0015175258234596;;0.00095125199397053
;;;indicadoresmunicipais;trabalhoinfantil;1;01_14_02_00;3301009;;33;;;MDS - Matriz de Informação Social;Bolsa Família - Valor Total Repassado (R$);null;Bolsa Família - Valor repassado;(R$);Bolsa Família - Valor repassado;441929.8413297394;1494781.7826086956;;Campos dos Goytacazes/RJ;Rio de Janeiro;2017;2017;2017;0.2854429333060049;5.104722861830552;19;5570;5;92;;7020011;;;137519924
;;;indicadoresmunicipais;trabalhoinfantil;7;07_01_11_00;3301009;;33;Mais de 5 anos;;ME - RAIS;Vículos empregatícios - Número de vínculos mais de 5 anos;null;Vínculos de Emprego;(Quantidade);Vínculos empregatícios - mais de 5 anos;2378.9451931716085;14160.891304347826;;Campos dos Goytacazes/RJ;Rio de Janeiro;2012;2012;2012;0.2021024516516943;2.053727273983307;57;5565;6;92;;26756;;;1302802
;;;indicadoresmunicipais;trabalhoinfantil;2;02_07_08_00;3301009;;33;15 a 24 anos;Total;IBGE - Censo Demográfico;Taxa de desocupação da população de 15 a 24 anos (Percentual) - Total;null;Desocupação;(Taxa);Desocupação da população de 15 a 24 anos - Total;13.287547169811312;18.795652173913048;;Campos dos Goytacazes/RJ;Rio de Janeiro;2010;2010;2010;0.0305631738097943;1.3069627573444365;531;5565;23;92;;22.6;;;19.3
;;;indicadoresmunicipais;trabalhoinfantil;;AUX_20_00010;3301009;;33;;;Fonte: DECAU/SENARC - Ministério da Cidadania (data de referência: 26/11/2020);Pessoas Elegíveis (Cadastro Único) - P5;Pessoas Elegíveis (Cadastro Único) - P5;Elegíveis CadÚnico - P5;(Quantidade);Pessoas Elegíveis (Cadastro Único) - P5;1693.2366247755836;6016.728260869565;;Campos dos Goytacazes/RJ;Rio de Janeiro;202008;202008;202008;0.18691959393205285;3.1847801148609225;63;5570;6;92;;17629;9431328;;553539
